customer_id,customer_name,total_spend
291,"Muhammad Patel",13083.04
332,"Sai Reddy",12809.69
349,"Sai Das",10602.45
207,"Sai Gupta",8983.90
162,"Krishna Bhat",6215.67
264,"Arjun Das",3870.48
202,"Aarav Verma",4989.58
20,"Vivaan Bhat",16837.45
158,"Muhammad Singh",8450.57
26,"Reyansh Reddy",9211.67
180,"Vivaan Bhat",15296.95
383,"Aditya Mehta",3718.29
409,"Vivaan Das",3864.23
167,"Ishaan Bhat",11329.68
170,"Vihaan Nair",6026.53
3,"Krishna Verma",4705.68
156,"Muhammad Mehta",4763.39
369,"Muhammad Sharma",1498.54
433,"Krishna Singh",4589.50
481,"Aarav Mehta",9153.17
382,"Muhammad Singh",6468.65
452,"Ishaan Nair",12287.86
397,"Krishna Reddy",4071.03
142,"Muhammad Reddy",9192.34
402,"Vivaan Singh",7420.95
111,"Aditya Verma",4705.58
295,"Ishaan Patel",3069.39
256,"Vihaan Das",10796.96
90,"Arjun Patel",6845.12
312,"Vihaan Patel",4817.63
93,"Vivaan Patel",2611.54
330,"Sai Bhat",6934.18
473,"Aarav Das",1865.52
336,"Ishaan Sharma",18059.30
79,"Vivaan Reddy",2022.93
464,"Reyansh Patel",2144.46
103,"Reyansh Bhat",12355.83
269,"Krishna Gupta",14419.12
292,"Muhammad Bhat",3272.38
458,"Aditya Gupta",11291.64
86,"Vivaan Sharma",14769.07
281,"Aditya Verma",9094.58
303,"Ishaan Mehta",5530.42
7,"Vihaan Nair",19481.05
141,"Ishaan Reddy",9693.02
83,"Arjun Reddy",11248.32
496,"Muhammad Verma",14354.42
358,"Muhammad Verma",6581.67
195,"Ishaan Singh",5760.87
380,"Muhammad Verma",11938.29
442,"Aditya Patel",4051.08
229,"Vivaan Patel",9231.45
119,"Ishaan Gupta",16523.50
342,"Aditya Patel",3683.97
468,"Aditya Das",12026.04
145,"Krishna Reddy",4360.27
364,"Sai Verma",13677.71
49,"Krishna Bhat",8144.79
217,"Aarav Bhat",9719.36
453,"Arjun Singh",13837.15
25,"Vivaan Reddy",7772.27
192,"Ishaan Gupta",7401.47
18,"Sai Mehta",6193.89
426,"Sai Verma",8496.73
72,"Arjun Nair",9946.13
150,"Vihaan Gupta",7848.57
53,"Reyansh Sharma",11918.01
310,"Ishaan Mehta",6139.98
490,"Arjun Sharma",6048.68
234,"Vihaan Gupta",8250.65
118,"Aarav Verma",4396.88
201,"Vihaan Nair",8809.82
288,"Vivaan Nair",2034.44
340,"Vihaan Mehta",6322.85
16,"Vihaan Gupta",3398.28
389,"Krishna Verma",6457.71
176,"Vihaan Patel",11136.63
258,"Arjun Das",8831.02
108,"Aditya Reddy",2417.95
400,"Vivaan Mehta",10715.64
486,"Aditya Verma",14366.47
179,"Ishaan Verma",6808.35
149,"Aditya Nair",7079.73
424,"Ishaan Reddy",5131.34
379,"Aditya Patel",952.33
403,"Aditya Bhat",11508.64
450,"Krishna Reddy",4563.14
463,"Vihaan Sharma",7621.64
351,"Aarav Sharma",5015.87
307,"Reyansh Reddy",1432.47
315,"Arjun Mehta",6696.49
135,"Aditya Verma",12159.59
500,"Muhammad Patel",7496.02
247,"Sai Gupta",6014.10
306,"Sai Gupta",4796.04
221,"Ishaan Sharma",5446.02
299,"Reyansh Bhat",6453.61
392,"Muhammad Bhat",5572.99
373,"Krishna Mehta",8229.79
52,"Vivaan Reddy",6823.91
196,"Sai Mehta",6076.46
495,"Krishna Gupta",3268.14
323,"Ishaan Reddy",14502.19
430,"Reyansh Gupta",8886.81
399,"Aarav Singh",6406.46
360,"Vihaan Singh",2132.22
87,"Ishaan Verma",12304.71
429,"Krishna Bhat",9314.77
130,"Ishaan Gupta",14669.94
391,"Krishna Gupta",5525.55
159,"Aarav Bhat",4381.68
252,"Krishna Sharma",11082.54
355,"Arjun Bhat",493.35
161,"Muhammad Singh",7718.45
427,"Vivaan Das",1911.74
333,"Reyansh Das",2946.07
494,"Aditya Nair",10619.74
280,"Sai Sharma",5121.80
154,"Aditya Reddy",10805.69
163,"Vihaan Gupta",8569.12
328,"Reyansh Das",7978.58
408,"Aditya Verma",15821.53
279,"Vivaan Nair",4365.13
422,"Ishaan Das",10010.04
33,"Muhammad Bhat",183.51
344,"Aarav Mehta",367.02
129,"Muhammad Singh",9045.58
277,"Aditya Nair",9762.08
75,"Krishna Sharma",15501.42
459,"Aditya Singh",5748.22
321,"Reyansh Verma",6149.71
419,"Krishna Verma",4868.54
242,"Ishaan Sharma",8823.84
69,"Vihaan Patel",2209.96
193,"Vihaan Verma",6874.72
266,"Krishna Patel",6792.50
115,"Vihaan Singh",12224.54
329,"Aditya Singh",11979.62
352,"Muhammad Singh",9572.09
96,"Reyansh Reddy",3294.35
285,"Sai Das",4063.21
376,"Krishna Sharma",9242.23
432,"Reyansh Verma",8842.19
268,"Vivaan Gupta",15663.71
396,"Muhammad Patel",6224.75
246,"Aditya Nair",4255.47
166,"Ishaan Das",8105.16
304,"Arjun Sharma",6999.81
287,"Vivaan Singh",1385.51
493,"Muhammad Nair",4602.47
213,"Reyansh Patel",19783.83
203,"Muhammad Reddy",1068.75
74,"Arjun Reddy",3802.03
51,"Reyansh Nair",6942.75
357,"Arjun Nair",4981.44
398,"Reyansh Verma",2348.92
331,"Aarav Mehta",2021.46
479,"Muhammad Nair",388.74
46,"Vivaan Nair",4713.36
395,"Vivaan Sharma",3208.14
124,"Krishna Das",5143.48
70,"Sai Reddy",5891.82
370,"Arjun Mehta",6826.58
394,"Aditya Gupta",3419.44
474,"Aditya Gupta",4769.66
216,"Aditya Nair",6501.36
232,"Arjun Sharma",5870.13
461,"Aarav Singh",1566.23
66,"Sai Reddy",4125.14
188,"Sai Verma",6617.82
334,"Muhammad Gupta",4679.72
81,"Aarav Bhat",2602.20
378,"Arjun Mehta",9170.51
309,"Aarav Gupta",2359.84
147,"Ishaan Mehta",9498.91
339,"Krishna Reddy",3085.92
56,"Aarav Mehta",12636.85
204,"Ishaan Mehta",5349.43
308,"Arjun Patel",6028.64
290,"Aarav Gupta",2598.91
337,"Reyansh Reddy",10682.14
50,"Krishna Reddy",8324.98
294,"Muhammad Bhat",2490.55
41,"Vihaan Patel",3459.60
320,"Arjun Bhat",2544.99
238,"Arjun Bhat",9106.57
215,"Aarav Das",1473.36
225,"Krishna Singh",4570.28
178,"Arjun Mehta",9404.77
185,"Aarav Mehta",7095.00
126,"Reyansh Verma",6759.15
131,"Aarav Gupta",6512.55
460,"Sai Mehta",9743.90
327,"Krishna Patel",2998.78
152,"Arjun Reddy",2113.26
184,"Ishaan Verma",15381.82
198,"Arjun Bhat",4146.22
416,"Reyansh Patel",7724.51
341,"Ishaan Sharma",3912.65
102,"Aditya Das",6665.11
220,"Vivaan Singh",1638.33
172,"Vivaan Nair",4711.54
123,"Arjun Sharma",2660.58
455,"Ishaan Patel",13333.15
114,"Vihaan Reddy",12184.63
155,"Aditya Reddy",11828.00
417,"Sai Nair",3577.22
132,"Muhammad Bhat",3971.04
273,"Krishna Singh",3040.84
462,"Vihaan Singh",2142.73
407,"Arjun Mehta",2823.36
77,"Krishna Patel",5138.27
489,"Krishna Singh",15285.65
13,"Vivaan Singh",2882.80
211,"Ishaan Das",3984.66
384,"Reyansh Bhat",5106.46
471,"Muhammad Bhat",4806.66
80,"Ishaan Reddy",9512.07
61,"Muhammad Mehta",11384.31
113,"Sai Mehta",10117.66
469,"Muhammad Verma",6952.42
235,"Vihaan Singh",16459.74
117,"Krishna Singh",2692.40
144,"Aditya Das",2567.97
412,"Aditya Bhat",6147.08
263,"Vivaan Patel",853.67
116,"Vivaan Gupta",8986.07
272,"Sai Mehta",10403.30
23,"Reyansh Sharma",1090.36
362,"Vivaan Mehta",1276.12
153,"Reyansh Das",2642.19
410,"Reyansh Mehta",9401.42
173,"Krishna Sharma",1700.50
146,"Aditya Nair",12985.66
476,"Muhammad Patel",5863.24
255,"Krishna Nair",2402.00
128,"Arjun Das",5214.24
265,"Sai Nair",5237.69
44,"Vivaan Mehta",2686.95
249,"Reyansh Singh",8434.22
449,"Ishaan Gupta",1339.65
365,"Vivaan Verma",5258.44
210,"Vihaan Nair",4729.34
387,"Sai Singh",2955.15
19,"Reyansh Reddy",5313.14
214,"Krishna Patel",5370.35
182,"Vihaan Verma",5597.16
385,"Aarav Patel",4029.72
59,"Sai Reddy",3457.72
6,"Krishna Reddy",6155.66
97,"Sai Gupta",8267.16
278,"Krishna Bhat",2305.60
425,"Sai Das",10281.25
454,"Muhammad Patel",11138.05
157,"Muhammad Sharma",6180.77
248,"Muhammad Nair",2946.93
434,"Ishaan Patel",1332.98
305,"Aarav Bhat",6923.76
11,"Vivaan Mehta",4254.93
438,"Reyansh Patel",4579.68
68,"Krishna Sharma",5047.56
414,"Ishaan Bhat",2693.04
367,"Ishaan Das",3146.10
346,"Aarav Patel",5864.79
401,"Ishaan Singh",2941.72
174,"Vivaan Sharma",3743.88
286,"Vivaan Reddy",5726.44
324,"Sai Gupta",2053.11
17,"Vihaan Verma",660.50
260,"Ishaan Reddy",2545.18
89,"Reyansh Verma",2533.04
205,"Krishna Mehta",264.56
85,"Arjun Nair",4621.55
24,"Aarav Mehta",2856.51
275,"Vihaan Singh",3820.34
194,"Sai Reddy",4344.64
415,"Ishaan Bhat",1119.59
112,"Aarav Nair",2888.94
251,"Sai Gupta",1299.68
478,"Krishna Das",1837.69
368,"Vivaan Singh",401.50
487,"Arjun Reddy",2774.40
32,"Vivaan Patel",1384.48
35,"Arjun Das",11781.89
267,"Ishaan Das",4835.46
228,"Vivaan Reddy",6256.88
326,"Sai Verma",1501.36
472,"Vivaan Nair",2541.81
219,"Aarav Gupta",5237.49
345,"Reyansh Sharma",5926.33
134,"Vihaan Das",4351.50
296,"Arjun Nair",2386.15
62,"Sai Sharma",1693.13
236,"Vihaan Patel",4475.84
12,"Arjun Sharma",1154.46
363,"Arjun Mehta",759.46
444,"Krishna Sharma",804.38
241,"Krishna Nair",2129.15
377,"Arjun Sharma",1676.07
107,"Krishna Singh",5304.14
421,"Arjun Verma",2480.73
244,"Vivaan Reddy",9249.07
92,"Krishna Sharma",6195.20
71,"Aditya Singh",1164.02
335,"Sai Verma",1484.28
257,"Sai Nair",2359.75
262,"Vivaan Reddy",9352.11
319,"Vivaan Nair",4566.92
371,"Krishna Reddy",5613.13
270,"Arjun Bhat",2603.95
212,"Vivaan Reddy",1279.17
105,"Reyansh Sharma",1120.04
94,"Vivaan Das",3707.68
431,"Reyansh Bhat",438.95
27,"Sai Patel",2021.50
276,"Sai Singh",3177.27
67,"Krishna Verma",1441.46
359,"Krishna Reddy",9948.42
34,"Muhammad Bhat",6634.52
443,"Vivaan Das",10155.69
122,"Vivaan Singh",7918.80
168,"Muhammad Patel",6645.36
353,"Sai Verma",5895.08
206,"Krishna Mehta",3234.35
31,"Sai Verma",657.65
475,"Ishaan Mehta",7639.69
30,"Reyansh Reddy",4462.79
338,"Ishaan Reddy",6738.00
488,"Vihaan Sharma",753.72
413,"Vivaan Patel",3003.32
58,"Krishna Patel",5207.24
169,"Aarav Gupta",835.67
343,"Aditya Verma",824.16
223,"Vivaan Das",6230.22
239,"Sai Verma",4649.11
209,"Vivaan Das",4165.48
197,"Vihaan Mehta",1382.12
482,"Vihaan Verma",2715.97
171,"Muhammad Gupta",893.36
200,"Vihaan Singh",2040.05
317,"Muhammad Das",4729.96
177,"Vivaan Bhat",2177.66
284,"Krishna Singh",5229.11
245,"Aarav Gupta",1890.03
160,"Aarav Mehta",3185.87
348,"Reyansh Das",1516.46
283,"Muhammad Verma",1051.84
39,"Arjun Das",555.67
448,"Muhammad Mehta",5164.16
271,"Sai Patel",2492.10
485,"Sai Nair",2073.47
274,"Vihaan Reddy",4799.83
297,"Aarav Nair",1428.15
38,"Aditya Nair",1091.08
65,"Aditya Singh",272.77
40,"Vivaan Gupta",818.31
208,"Vihaan Verma",3350.94
423,"Ishaan Das",5808.48
293,"Aditya Verma",213.81
222,"Ishaan Gupta",319.63
356,"Reyansh Singh",6757.75
183,"Vihaan Verma",704.90
95,"Arjun Bhat",3803.75
9,"Arjun Patel",1721.34
181,"Ishaan Singh",3211.85
84,"Arjun Singh",412.94
73,"Krishna Nair",519.57
484,"Krishna Mehta",1941.60
78,"Vivaan Patel",2937.71
301,"Arjun Reddy",1361.64
148,"Krishna Singh",477.05
375,"Muhammad Das",1484.97
164,"Aarav Singh",613.30
366,"Reyansh Patel",86.42
