customer_id,customer_name,signup_date,customer_category
159,"Aarav Bhat",2024-05-03,Regular
160,"Aarav Mehta",2025-02-10,New
161,"Muhammad Singh",2025-02-04,New
162,"Krishna Bhat",2024-05-14,Regular
163,"Vihaan Gupta",2024-05-12,Regular
164,"Aarav Singh",2024-11-15,Regular
165,"Muhammad Patel",2023-05-11,"Early Bird"
166,"Ishaan Das",2024-02-08,Regular
167,"Ishaan Bhat",2023-03-27,"Early Bird"
168,"Muhammad Patel",2023-07-06,"Early Bird"
169,"Aarav Gupta",2023-12-02,"Early Bird"
170,"Vihaan Nair",2023-12-12,"Early Bird"
171,"Muhammad Gupta",2023-09-16,"Early Bird"
172,"Vivaan Nair",2025-02-06,New
173,"Krishna Sharma",2023-08-18,"Early Bird"
174,"Vivaan Sharma",2023-09-11,"Early Bird"
175,"Vihaan Sharma",2023-06-06,"Early Bird"
176,"Vihaan Patel",2024-11-16,Regular
177,"Vivaan Bhat",2024-04-21,Regular
178,"Arjun Mehta",2024-09-12,Regular
179,"Ishaan Verma",2023-11-15,"Early Bird"
180,"Vivaan Bhat",2023-11-16,"Early Bird"
181,"Ishaan Singh",2025-01-02,New
182,"Vihaan Verma",2024-12-08,Regular
183,"Vihaan Verma",2025-05-20,New
184,"Ishaan Verma",2025-03-12,New
185,"Aarav Mehta",2024-03-14,Regular
186,"Reyansh Verma",2024-10-25,Regular
187,"Reyansh Sharma",2025-04-22,New
188,"Sai Verma",2024-01-06,Regular
189,"Sai Patel",2023-06-30,"Early Bird"
190,"Krishna Gupta",2025-04-07,New
191,"Krishna Nair",2024-03-22,Regular
192,"Ishaan Gupta",2025-05-22,New
193,"Vihaan Verma",2025-06-21,New
194,"Sai Reddy",2024-08-06,Regular
195,"Ishaan Singh",2023-01-30,"Early Bird"
196,"Sai Mehta",2024-05-14,Regular
197,"Vihaan Mehta",2023-12-15,"Early Bird"
198,"Arjun Bhat",2024-07-23,Regular
199,"Aarav Das",2023-03-29,"Early Bird"
200,"Vihaan Singh",2024-07-22,Regular
201,"Vihaan Nair",2024-04-03,Regular
202,"Aarav Verma",2023-08-15,"Early Bird"
203,"Muhammad Reddy",2024-11-10,Regular
204,"Ishaan Mehta",2024-07-20,Regular
205,"Krishna Mehta",2025-02-02,New
206,"Krishna Mehta",2024-12-20,Regular
207,"Sai Gupta",2023-09-15,"Early Bird"
208,"Vihaan Verma",2023-11-20,"Early Bird"
209,"Vivaan Das",2023-07-16,"Early Bird"
210,"Vihaan Nair",2025-01-11,New
211,"Ishaan Das",2023-10-17,"Early Bird"
212,"Vivaan Reddy",2023-08-21,"Early Bird"
213,"Reyansh Patel",2023-01-15,"Early Bird"
214,"Krishna Patel",2023-02-16,"Early Bird"
215,"Aarav Das",2024-12-15,Regular
216,"Aditya Nair",2025-06-12,New
217,"Aarav Bhat",2024-04-25,Regular
218,"Sai Nair",2023-07-08,"Early Bird"
219,"Aarav Gupta",2023-04-27,"Early Bird"
220,"Vivaan Singh",2023-03-17,"Early Bird"
221,"Ishaan Sharma",2023-06-02,"Early Bird"
222,"Ishaan Gupta",2023-09-12,"Early Bird"
223,"Vivaan Das",2024-09-12,Regular
224,"Ishaan Bhat",2025-03-05,New
225,"Krishna Singh",2024-03-29,Regular
226,"Arjun Bhat",2023-11-09,"Early Bird"
227,"Ishaan Bhat",2024-09-16,Regular
228,"Vivaan Reddy",2023-09-28,"Early Bird"
229,"Vivaan Patel",2023-06-27,"Early Bird"
230,"Krishna Verma",2023-01-03,"Early Bird"
231,"Muhammad Nair",2024-04-26,Regular
232,"Arjun Sharma",2023-10-23,"Early Bird"
233,"Arjun Nair",2024-12-04,Regular
234,"Vihaan Gupta",2024-11-08,Regular
235,"Vihaan Singh",2024-07-11,Regular
236,"Vihaan Patel",2025-04-26,New
237,"Aditya Verma",2023-06-19,"Early Bird"
238,"Arjun Bhat",2023-10-23,"Early Bird"
239,"Sai Verma",2024-12-06,Regular
240,"Arjun Singh",2024-05-27,Regular
241,"Krishna Nair",2023-03-24,"Early Bird"
242,"Ishaan Sharma",2025-01-22,New
243,"Reyansh Bhat",2023-01-27,"Early Bird"
244,"Vivaan Reddy",2024-08-24,Regular
245,"Aarav Gupta",2023-02-11,"Early Bird"
246,"Aditya Nair",2024-10-29,Regular
247,"Sai Gupta",2024-08-22,Regular
248,"Muhammad Nair",2024-04-26,Regular
249,"Reyansh Singh",2023-11-25,"Early Bird"
250,"Vivaan Patel",2024-02-26,Regular
251,"Sai Gupta",2025-04-13,New
252,"Krishna Sharma",2023-04-01,"Early Bird"
253,"Reyansh Gupta",2023-04-29,"Early Bird"
254,"Muhammad Das",2024-11-04,Regular
255,"Krishna Nair",2023-02-25,"Early Bird"
256,"Vihaan Das",2024-09-29,Regular
257,"Sai Nair",2023-07-28,"Early Bird"
258,"Arjun Das",2023-10-22,"Early Bird"
259,"Sai Nair",2023-01-30,"Early Bird"
260,"Ishaan Reddy",2023-11-15,"Early Bird"
261,"Krishna Sharma",2024-02-22,Regular
262,"Vivaan Reddy",2024-04-17,Regular
263,"Vivaan Patel",2025-01-03,New
264,"Arjun Das",2024-03-01,Regular
265,"Sai Nair",2024-04-12,Regular
266,"Krishna Patel",2023-07-15,"Early Bird"
267,"Ishaan Das",2025-06-03,New
268,"Vivaan Gupta",2023-12-15,"Early Bird"
269,"Krishna Gupta",2023-10-17,"Early Bird"
270,"Arjun Bhat",2024-11-06,Regular
271,"Sai Patel",2024-07-05,Regular
272,"Sai Mehta",2024-07-19,Regular
273,"Krishna Singh",2023-11-26,"Early Bird"
274,"Vihaan Reddy",2024-01-28,Regular
275,"Vihaan Singh",2023-11-22,"Early Bird"
276,"Sai Singh",2024-11-10,Regular
277,"Aditya Nair",2023-05-10,"Early Bird"
278,"Krishna Bhat",2025-06-09,New
279,"Vivaan Nair",2024-06-22,Regular
280,"Sai Sharma",2024-02-24,Regular
281,"Aditya Verma",2025-03-11,New
282,"Arjun Mehta",2024-12-10,Regular
283,"Muhammad Verma",2025-05-22,New
284,"Krishna Singh",2024-10-03,Regular
285,"Sai Das",2024-09-24,Regular
286,"Vivaan Reddy",2023-08-21,"Early Bird"
287,"Vivaan Singh",2025-02-17,New
288,"Vivaan Nair",2024-12-11,Regular
289,"Arjun Sharma",2023-11-29,"Early Bird"
290,"Aarav Gupta",2024-01-19,Regular
291,"Muhammad Patel",2024-06-27,Regular
292,"Muhammad Bhat",2023-06-24,"Early Bird"
293,"Aditya Verma",2025-06-10,New
294,"Muhammad Bhat",2024-05-24,Regular
295,"Ishaan Patel",2024-04-17,Regular
296,"Arjun Nair",2024-11-13,Regular
297,"Aarav Nair",2024-11-24,Regular
298,"Krishna Patel",2024-03-28,Regular
299,"Reyansh Bhat",2024-10-16,Regular
300,"Muhammad Gupta",2025-05-15,New
301,"Arjun Reddy",2025-05-23,New
302,"Sai Verma",2024-01-26,Regular
303,"Ishaan Mehta",2023-10-30,"Early Bird"
304,"Arjun Sharma",2023-10-09,"Early Bird"
305,"Aarav Bhat",2024-09-12,Regular
306,"Sai Gupta",2024-09-13,Regular
307,"Reyansh Reddy",2024-09-27,Regular
308,"Arjun Patel",2024-10-04,Regular
309,"Aarav Gupta",2023-02-04,"Early Bird"
310,"Ishaan Mehta",2023-04-03,"Early Bird"
311,"Arjun Mehta",2023-06-29,"Early Bird"
312,"Vihaan Patel",2025-06-16,New
313,"Reyansh Das",2023-10-07,"Early Bird"
314,"Aditya Gupta",2025-04-05,New
315,"Arjun Mehta",2024-04-24,Regular
316,"Vivaan Patel",2025-05-30,New
317,"Muhammad Das",2023-04-03,"Early Bird"
318,"Muhammad Sharma",2024-07-03,Regular
319,"Vivaan Nair",2024-11-19,Regular
320,"Arjun Bhat",2025-04-22,New
321,"Reyansh Verma",2024-04-27,Regular
322,"Aarav Bhat",2023-12-02,"Early Bird"
323,"Ishaan Reddy",2024-10-12,Regular
324,"Sai Gupta",2023-04-30,"Early Bird"
325,"Aditya Sharma",2023-11-08,"Early Bird"
326,"Sai Verma",2023-08-29,"Early Bird"
327,"Krishna Patel",2024-04-09,Regular
328,"Reyansh Das",2024-08-24,Regular
329,"Aditya Singh",2025-05-03,New
330,"Sai Bhat",2023-10-14,"Early Bird"
331,"Aarav Mehta",2024-03-30,Regular
332,"Sai Reddy",2023-04-12,"Early Bird"
333,"Reyansh Das",2023-03-04,"Early Bird"
334,"Muhammad Gupta",2023-05-06,"Early Bird"
335,"Sai Verma",2024-10-19,Regular
336,"Ishaan Sharma",2025-03-16,New
337,"Reyansh Reddy",2025-03-16,New
338,"Ishaan Reddy",2025-04-29,New
339,"Krishna Reddy",2023-08-10,"Early Bird"
340,"Vihaan Mehta",2025-03-18,New
341,"Ishaan Sharma",2025-05-29,New
342,"Aditya Patel",2023-09-14,"Early Bird"
343,"Aditya Verma",2023-05-15,"Early Bird"
344,"Aarav Mehta",2024-08-25,Regular
345,"Reyansh Sharma",2023-09-29,"Early Bird"
346,"Aarav Patel",2024-06-22,Regular
347,"Vivaan Verma",2024-04-04,Regular
348,"Reyansh Das",2023-04-22,"Early Bird"
349,"Sai Das",2024-09-21,Regular
350,"Aarav Das",2024-04-14,Regular
351,"Aarav Sharma",2025-05-17,New
352,"Muhammad Singh",2024-05-17,Regular
353,"Sai Verma",2023-11-26,"Early Bird"
354,"Ishaan Patel",2023-05-10,"Early Bird"
355,"Arjun Bhat",2024-07-15,Regular
356,"Reyansh Singh",2024-06-27,Regular
357,"Arjun Nair",2024-09-11,Regular
358,"Muhammad Verma",2025-05-23,New
359,"Krishna Reddy",2024-04-07,Regular
360,"Vihaan Singh",2025-04-27,New
361,"Sai Singh",2025-01-17,New
362,"Vivaan Mehta",2023-11-17,"Early Bird"
363,"Arjun Mehta",2024-12-04,Regular
364,"Sai Verma",2025-05-01,New
365,"Vivaan Verma",2023-04-09,"Early Bird"
366,"Reyansh Patel",2023-03-03,"Early Bird"
367,"Ishaan Das",2023-12-04,"Early Bird"
368,"Vivaan Singh",2025-06-13,New
369,"Muhammad Sharma",2024-09-06,Regular
370,"Arjun Mehta",2024-08-14,Regular
371,"Krishna Reddy",2024-11-03,Regular
372,"Sai Reddy",2023-12-25,"Early Bird"
373,"Krishna Mehta",2025-02-19,New
374,"Arjun Bhat",2025-04-06,New
375,"Muhammad Das",2024-09-20,Regular
376,"Krishna Sharma",2024-11-04,Regular
377,"Arjun Sharma",2023-10-07,"Early Bird"
378,"Arjun Mehta",2023-01-07,"Early Bird"
379,"Aditya Patel",2024-11-04,Regular
380,"Muhammad Verma",2025-01-28,New
381,"Aarav Verma",2023-08-09,"Early Bird"
382,"Muhammad Singh",2023-12-16,"Early Bird"
383,"Aditya Mehta",2025-01-08,New
384,"Reyansh Bhat",2023-03-28,"Early Bird"
385,"Aarav Patel",2025-02-11,New
386,"Ishaan Sharma",2023-10-06,"Early Bird"
387,"Sai Singh",2024-09-13,Regular
388,"Sai Singh",2023-08-09,"Early Bird"
389,"Krishna Verma",2024-03-16,Regular
390,"Vivaan Gupta",2024-05-13,Regular
391,"Krishna Gupta",2023-08-14,"Early Bird"
392,"Muhammad Bhat",2023-01-08,"Early Bird"
393,"Vihaan Gupta",2025-02-24,New
394,"Aditya Gupta",2023-12-02,"Early Bird"
395,"Vivaan Sharma",2025-02-03,New
396,"Muhammad Patel",2024-01-25,Regular
397,"Krishna Reddy",2024-07-26,Regular
398,"Reyansh Verma",2025-06-01,New
399,"Aarav Singh",2024-04-15,Regular
400,"Vivaan Mehta",2024-03-15,Regular
401,"Ishaan Singh",2023-10-24,"Early Bird"
402,"Vivaan Singh",2023-11-29,"Early Bird"
403,"Aditya Bhat",2025-05-01,New
404,"Reyansh Verma",2025-05-14,New
405,"Vivaan Reddy",2024-08-26,Regular
406,"Muhammad Das",2024-02-10,Regular
407,"Arjun Mehta",2023-12-08,"Early Bird"
408,"Aditya Verma",2024-10-10,Regular
409,"Vivaan Das",2023-07-18,"Early Bird"
410,"Reyansh Mehta",2023-08-30,"Early Bird"
411,"Vivaan Patel",2023-07-22,"Early Bird"
412,"Aditya Bhat",2025-02-17,New
413,"Vivaan Patel",2024-04-20,Regular
414,"Ishaan Bhat",2024-11-28,Regular
415,"Ishaan Bhat",2025-06-03,New
416,"Reyansh Patel",2023-03-11,"Early Bird"
417,"Sai Nair",2025-03-26,New
418,"Arjun Bhat",2023-12-27,"Early Bird"
419,"Krishna Verma",2024-04-17,Regular
420,"Sai Sharma",2024-01-13,Regular
421,"Arjun Verma",2024-09-21,Regular
422,"Ishaan Das",2024-04-18,Regular
423,"Ishaan Das",2024-04-05,Regular
424,"Ishaan Reddy",2024-09-11,Regular
425,"Sai Das",2023-03-05,"Early Bird"
426,"Sai Verma",2025-01-01,New
427,"Vivaan Das",2023-02-10,"Early Bird"
428,"Vihaan Nair",2024-06-20,Regular
429,"Krishna Bhat",2024-01-08,Regular
430,"Reyansh Gupta",2024-02-23,Regular
431,"Reyansh Bhat",2025-03-19,New
432,"Reyansh Verma",2023-04-07,"Early Bird"
433,"Krishna Singh",2023-09-16,"Early Bird"
434,"Ishaan Patel",2023-03-25,"Early Bird"
435,"Ishaan Patel",2023-11-14,"Early Bird"
436,"Muhammad Patel",2024-12-26,Regular
437,"Vivaan Gupta",2024-01-21,Regular
438,"Reyansh Patel",2023-04-06,"Early Bird"
439,"Muhammad Das",2023-01-19,"Early Bird"
440,"Reyansh Gupta",2023-08-08,"Early Bird"
441,"Reyansh Nair",2023-08-20,"Early Bird"
442,"Aditya Patel",2023-10-30,"Early Bird"
443,"Vivaan Das",2025-05-05,New
444,"Krishna Sharma",2025-06-16,New
445,"Ishaan Patel",2024-01-21,Regular
446,"Aditya Patel",2025-05-01,New
447,"Ishaan Patel",2023-02-14,"Early Bird"
448,"Muhammad Mehta",2024-03-30,Regular
449,"Ishaan Gupta",2023-08-28,"Early Bird"
450,"Krishna Reddy",2025-04-08,New
451,"Sai Reddy",2024-11-25,Regular
452,"Ishaan Nair",2025-02-26,New
453,"Arjun Singh",2024-06-24,Regular
454,"Muhammad Patel",2025-03-31,New
455,"Ishaan Patel",2023-02-23,"Early Bird"
456,"Sai Mehta",2023-04-16,"Early Bird"
457,"Krishna Verma",2023-03-27,"Early Bird"
458,"Aditya Gupta",2024-06-09,Regular
459,"Aditya Singh",2023-08-16,"Early Bird"
460,"Sai Mehta",2024-02-29,Regular
461,"Aarav Singh",2024-01-18,Regular
462,"Vihaan Singh",2024-01-19,Regular
463,"Vihaan Sharma",2023-04-12,"Early Bird"
464,"Reyansh Patel",2023-02-09,"Early Bird"
465,"Arjun Nair",2025-02-16,New
466,"Sai Nair",2023-01-06,"Early Bird"
467,"Vivaan Sharma",2023-08-09,"Early Bird"
468,"Aditya Das",2024-06-24,Regular
469,"Muhammad Verma",2023-09-01,"Early Bird"
470,"Arjun Verma",2023-09-02,"Early Bird"
471,"Muhammad Bhat",2023-03-06,"Early Bird"
472,"Vivaan Nair",2024-07-02,Regular
473,"Aarav Das",2023-09-05,"Early Bird"
474,"Aditya Gupta",2023-01-02,"Early Bird"
475,"Ishaan Mehta",2024-08-07,Regular
476,"Muhammad Patel",2024-06-20,Regular
477,"Reyansh Verma",2024-07-11,Regular
478,"Krishna Das",2023-01-21,"Early Bird"
479,"Muhammad Nair",2024-10-12,Regular
480,"Muhammad Mehta",2025-02-04,New
481,"Aarav Mehta",2023-12-20,"Early Bird"
482,"Vihaan Verma",2025-01-22,New
483,"Reyansh Patel",2023-12-27,"Early Bird"
484,"Krishna Mehta",2025-04-30,New
485,"Sai Nair",2025-04-10,New
486,"Aditya Verma",2023-02-07,"Early Bird"
487,"Arjun Reddy",2025-03-21,New
488,"Vihaan Sharma",2023-11-14,"Early Bird"
489,"Krishna Singh",2024-04-29,Regular
490,"Arjun Sharma",2023-10-20,"Early Bird"
491,"Reyansh Sharma",2023-10-07,"Early Bird"
492,"Vivaan Mehta",2025-06-29,New
493,"Muhammad Nair",2023-12-14,"Early Bird"
494,"Aditya Nair",2024-01-12,Regular
495,"Krishna Gupta",2025-01-14,New
496,"Muhammad Verma",2024-09-08,Regular
497,"Aditya Das",2023-11-25,"Early Bird"
498,"Vivaan Verma",2024-11-07,Regular
499,"Arjun Gupta",2024-09-09,Regular
500,"Muhammad Patel",2023-12-26,"Early Bird"
